r1bqkbnr/pp1p1ppp/2n5/4p1N1/2BpP3/8/PPP2PPP/RNBQK2R b KQkq - 0 1,['g8h6'],[1]
rnb1kbnr/pppp1p1p/8/6p1/2BPPp1q/8/PPP3PP/RNBQ1KNR b kq d3 0 1,['f8g7'],[9]
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 1,"['d7d5', 'g8f6', 'f7f5', 'f8e7', 'd7d6']","[38, 34, 3, 1, 5]"
r1bqkbnr/ppp2ppp/2n5/3pp3/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq d6 0 1,"['f1b5', 'e4d5', 'd1a4', 'd2d3']","[10, 1, 26, 1]"
r1bqkbnr/ppp2ppp/2n5/1B1pp3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 1,"['d5e4', 'd8d6']","[8, 2]"
r1bqkbnr/ppp2ppp/2n5/1B2p3/4p3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 1,"['f3e5', 'b5c6']","[7, 1]"
r1bqkbnr/ppp2ppp/2n5/1B2N3/4p3/2P5/PP1P1PPP/RNBQK2R b KQkq - 0 1,['d8d5'],[7]
rnb1kbnr/ppqp1ppp/8/4p3/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 1,['c4b3'],[1]
rnb1kbnr/ppqp1ppp/8/4p3/3pP3/1B3N2/PPP2PPP/RNBQK2R b KQkq - 0 1,['f8b4'],[1]
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 1,"['e5d4', 'f7f5', 'f8b4', 'd7d5', 'd7d6', 'f8d6']","[1284, 1, 1, 4, 5, 1]"
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 1,"['f1c4', 'f3d4', 'c2c3', 'f1b5', 'f3g1']","[136, 1166, 22, 1, 1]"
r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 1,"['c2c3', 'e1h1', 'f3g5', 'c1g5', 'b2b4']","[26, 52, 19, 1, 1]"
r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 1,"['g8f6', 'd4c3', 'd4d3']","[22, 1, 3]"
rnb1k1nr/pppp1ppp/8/2b5/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq - 0 1,['d2d4'],[2]
rnb1k1nr/pppp1ppp/8/2b5/2BPPp1q/8/PPP3PP/RNBQ1KNR b kq d3 0 1,['c5b6'],[2]
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,"['d2d4', 'd1e2', 'c2c4', 'b1c3', 'b2b3', 'f2f4', 'd2d3', 'g1f3', 'e4e5', 'g2g3']","[6327, 56, 8, 26, 6, 16, 189, 31, 1, 2]"
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 1,"['d7d5', 'g7g6', 'g8e7', 'c7c5', 'd7d6', 'g8f6', 'b7b6', 'f8b4', 'f7f5', 'c7c6', 'a7a6']","[6557, 10, 3, 17, 6, 1, 10, 1, 1, 1, 2]"
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 1,"['e4d5', 'b1c3', 'f1d3', 'b1d2', 'e4e5', 'c2c4', 'c1e3']","[283, 3965, 33, 1805, 467, 3, 2]"
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 1,"['e6d5', 'd8d5']","[280, 3]"
rnbqkbnr/ppp2ppp/8/3p4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 1,"['c2c4', 'f1d3', 'g1f3', 'c1e3', 'b1c3', 'g2g3', 'c2c3', 'c1f4']","[16, 62, 194, 1, 3, 1, 1, 2]"
rnbqkbnr/ppp2ppp/8/3p4/2PP4/8/PP3PPP/RNBQKBNR b KQkq c3 0 1,"['g8f6', 'c7c6', 'f8b4', 'b8c6']","[21, 3, 4, 2]"
rnbqkb1r/ppp2ppp/5n2/3p4/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 1,"['f1e2', 'b1c3', 'g1f3']","[1, 13, 8]"
rnbqkb1r/ppp2ppp/5n2/3p4/2PP4/8/PP2BPPP/RNBQK1NR b KQkq - 0 1,['b8c6'],[1]
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 1,"['b2b4', 'c2c3', 'e1h1', 'd2d3', 'b1c3', 'd2d4']","[557, 1310, 820, 262, 50, 5]"
r1bqk1nr/pppp1ppp/2n5/2b1p3/1PB1P3/5N2/P1PP1PPP/RNBQK2R b KQkq b3 0 1,"['c5b4', 'd7d5', 'c5b6', 'c5e7']","[483, 5, 68, 1]"
